cartodb_id,rw_country_name,rw_country_code,datetime,yr_data
67,Guinea Bissau,GNB,2015-01-01 00:00:00,0.424
151,South Sudan,SSD,2015-01-01 00:00:00,0.418
130,Norway,NOR,2015-01-01 00:00:00,0.949
81,Iraq,IRQ,2015-01-01 00:00:00,0.649
89,Kenya,KEN,2015-01-01 00:00:00,0.555
79,Ireland,IRL,2015-01-01 00:00:00,0.923
49,Dominican Republic,DOM,2015-01-01 00:00:00,0.722
171,Tajikistan,TJK,2015-01-01 00:00:00,0.627
59,France,FRA,2015-01-01 00:00:00,0.897
55,Estonia,EST,2015-01-01 00:00:00,0.865
23,Bolivia,BOL,2015-01-01 00:00:00,0.674
117,Myanmar,MMR,2015-01-01 00:00:00,0.556
84,Italy,ITA,2015-01-01 00:00:00,0.887
152,Senegal,SEN,2015-01-01 00:00:00,0.494
155,Sierra Leone,SLE,2015-01-01 00:00:00,0.42
149,Saudi Arabia,SAU,2015-01-01 00:00:00,0.847
159,Republic of Serbia,SRB,2015-01-01 00:00:00,0.776
9,Australia,AUS,2015-01-01 00:00:00,0.939
35,Cameroon,CMR,2015-01-01 00:00:00,0.518
29,Central African Republic,CAF,2015-01-01 00:00:00,0.352
32,Chile,CHL,2015-01-01 00:00:00,0.847
109,Moldova,MDA,2015-01-01 00:00:00,0.699
80,Iran,IRN,2015-01-01 00:00:00,0.774
1,Afghanistan,AFG,2015-01-01 00:00:00,0.479
50,Algeria,DZA,2015-01-01 00:00:00,0.745
6,Argentina,ARG,2015-01-01 00:00:00,0.827
154,Solomon Islands,SLB,2015-01-01 00:00:00,0.515
45,Germany,DEU,2015-01-01 00:00:00,0.926
98,Liberia,LBR,2015-01-01 00:00:00,0.427
141,Poland,POL,2015-01-01 00:00:00,0.855
147,Russia,RUS,2015-01-01 00:00:00,0.804
137,Peru,PER,2015-01-01 00:00:00,0.74
143,Portugal,PRT,2015-01-01 00:00:00,0.843
161,Suriname,SUR,2015-01-01 00:00:00,0.725
162,Slovakia,SVK,2015-01-01 00:00:00,0.845
54,Spain,ESP,2015-01-01 00:00:00,0.884
170,Thailand,THA,2015-01-01 00:00:00,0.74
167,Syria,SYR,2015-01-01 00:00:00,0.536
177,Turkey,TUR,2015-01-01 00:00:00,0.767
180,Uganda,UGA,2015-01-01 00:00:00,0.493
116,Malta,MLT,2015-01-01 00:00:00,0.856
133,New Zealand,NZL,2015-01-01 00:00:00,0.915
127,Nigeria,NGA,2015-01-01 00:00:00,0.527
128,Nicaragua,NIC,2015-01-01 00:00:00,0.645
126,Niger,NER,2015-01-01 00:00:00,0.353
136,Panama,PAN,2015-01-01 00:00:00,0.788
134,Oman,OMN,2015-01-01 00:00:00,0.796
135,Pakistan,PAK,2015-01-01 00:00:00,0.55
144,Paraguay,PRY,2015-01-01 00:00:00,0.693
140,Papua New Guinea,PNG,2015-01-01 00:00:00,0.516
138,Philippines,PHL,2015-01-01 00:00:00,0.682
146,Romania,ROU,2015-01-01 00:00:00,0.802
100,Saint Lucia,LCA,2015-01-01 00:00:00,0.735
28,Botswana,BWA,2015-01-01 00:00:00,0.698
48,Denmark,DNK,2015-01-01 00:00:00,0.925
88,Kazakhstan,KAZ,2015-01-01 00:00:00,0.794
31,Switzerland,CHE,2015-01-01 00:00:00,0.939
94,South Korea,KOR,2015-01-01 00:00:00,0.901
8,Antigua and Barbuda,ATG,2015-01-01 00:00:00,0.786
10,Austria,AUT,2015-01-01 00:00:00,0.893
2,Angola,AGO,2015-01-01 00:00:00,0.533
11,Azerbaijan,AZE,2015-01-01 00:00:00,0.759
18,Bahrain,BHR,2015-01-01 00:00:00,0.824
19,The Bahamas,BHS,2015-01-01 00:00:00,0.792
16,Bangladesh,BGD,2015-01-01 00:00:00,0.579
150,Sudan,SDN,2015-01-01 00:00:00,0.49
102,Sri Lanka,LKA,2015-01-01 00:00:00,0.766
172,Turkmenistan,TKM,2015-01-01 00:00:00,0.692
15,Burkina Faso,BFA,2015-01-01 00:00:00,0.402
20,Bosnia and Herzegovina,BIH,2015-01-01 00:00:00,0.75
24,Brazil,BRA,2015-01-01 00:00:00,0.754
17,Bulgaria,BGR,2015-01-01 00:00:00,0.794
91,Cambodia,KHM,2015-01-01 00:00:00,0.563
37,Republic of Congo,COG,2015-01-01 00:00:00,0.592
33,China,CHN,2015-01-01 00:00:00,0.738
168,Chad,TCD,2015-01-01 00:00:00,0.396
38,Colombia,COL,2015-01-01 00:00:00,0.727
30,Canada,CAN,2015-01-01 00:00:00,0.92
41,Costa Rica,CRI,2015-01-01 00:00:00,0.776
42,Cuba,CUB,2015-01-01 00:00:00,0.775
34,Ivory Coast,CIV,2015-01-01 00:00:00,0.474
74,Croatia,HRV,2015-01-01 00:00:00,0.827
44,Czech Republic,CZE,2015-01-01 00:00:00,0.878
